,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
44,2021-03-09,132.04309386017712,118.96761963736814,122.92455786194073,132.04309386017712,132.04309386017712,-7.45800818030373,-7.45800818030373,-7.45800818030373,-3.450350524852841,-3.450350524852841,-3.450350524852841,-11.172103692065031,-11.172103692065031,-11.172103692065031,-10.908358705156571,-10.908358705156571,-10.908358705156571,-0.26374498690845993,-0.26374498690845993,-0.26374498690845993,0.0,0.0,0.0,120.87099016811209
45,2021-03-10,131.89794133256865,118.5728153875027,122.28915571005143,131.89794133256865,131.89794133256865,-7.455655586305681,-7.455655586305681,-7.455655586305681,-3.781782851774666,-3.781782851774666,-3.781782851774666,-11.468297570997697,-11.468297570997697,-11.468297570997697,-11.237438438080346,-11.237438438080346,-11.237438438080346,-0.23085913291734964,-0.23085913291734964,-0.23085913291734964,0.0,0.0,0.0,120.42964376157096
46,2021-03-11,131.75278880496018,119.6907035556636,123.61611233951764,131.75278880496018,131.75278880496018,-7.139728106574886,-7.139728106574886,-7.139728106574886,-2.902235268991871,-2.902235268991871,-2.902235268991871,-10.191301204478117,-10.191301204478117,-10.191301204478117,-10.041963375566757,-10.041963375566757,-10.041963375566757,-0.14933782891136083,-0.14933782891136083,-0.14933782891136083,0.0,0.0,0.0,121.56148760048205
47,2021-03-12,131.6076362773517,119.39560533781659,123.2629165316921,131.6076362773517,131.6076362773517,-6.950810235240647,-6.950810235240647,-6.950810235240647,-3.212048615415607,-3.212048615415607,-3.212048615415607,-10.383421047451915,-10.383421047451915,-10.383421047451915,-10.162858850656255,-10.162858850656255,-10.162858850656255,-0.22056219679566014,-0.22056219679566014,-0.22056219679566014,0.0,0.0,0.0,121.22421522989978
48,2021-03-15,131.17217869452625,120.42938113954806,124.32047916784843,131.17217869452625,131.17217869452625,-6.370166827675425,-6.370166827675425,-6.370166827675425,-1.9225096373119195,-1.9225096373119195,-1.9225096373119195,-8.667219874258631,-8.667219874258631,-8.667219874258631,-8.292676464987345,-8.292676464987345,-8.292676464987345,-0.374543409271286,-0.374543409271286,-0.374543409271286,0.0,0.0,0.0,122.50495882026762
49,2021-03-16,131.02702616063618,121.78533035347293,125.9501132186911,131.02702616063618,131.02702616063618,-5.6642644829897835,-5.6642644829897835,-5.6642644829897835,-1.2839655292598757,-1.2839655292598757,-1.2839655292598757,-7.211974999157809,-7.211974999157809,-7.211974999157809,-6.94823001224966,-6.94823001224966,-6.94823001224966,-0.2637449869081487,-0.2637449869081487,-0.2637449869081487,0.0,0.0,0.0,123.81505116147838
50,2021-03-17,130.8818736267461,122.15270673311876,125.94985495046649,130.8818736267461,130.8818736267461,-5.171405577951174,-5.171405577951174,-5.171405577951174,-1.610357572154957,-1.610357572154957,-1.610357572154957,-7.0126222830237275,-7.0126222830237275,-7.0126222830237275,-6.781763150106132,-6.781763150106132,-6.781763150106132,-0.23085913291759594,-0.23085913291759594,-0.23085913291759594,0.0,0.0,0.0,123.86925134372238
51,2021-03-18,130.73672109285602,120.19522687381931,124.05110020698542,130.73672109285602,130.73672109285602,-5.2848566891366024,-5.2848566891366024,-5.2848566891366024,-3.159383436302768,-3.159383436302768,-3.159383436302768,-8.593577954350465,-8.593577954350465,-8.593577954350465,-8.444240125439372,-8.444240125439372,-8.444240125439372,-0.14933782891109515,-0.14933782891109515,-0.14933782891109515,0.0,0.0,0.0,122.14314313850555
52,2021-03-19,130.59156855896595,119.64292394021234,123.60922025926642,130.59156855896595,130.59156855896595,-5.404020046479818,-5.404020046479818,-5.404020046479818,-3.3408076043490182,-3.3408076043490182,-3.3408076043490182,-8.965389847623852,-8.965389847623852,-8.965389847623852,-8.744827650828837,-8.744827650828837,-8.744827650828837,-0.22056219679501501,-0.22056219679501501,-0.22056219679501501,0.0,0.0,0.0,121.62617871134209
53,2021-03-22,130.15611095729574,121.02188847686763,124.9061665323948,130.15611095729574,130.15611095729574,-5.026566214209397,-5.026566214209397,-5.026566214209397,-1.8213438181353507,-1.8213438181353507,-1.8213438181353507,-7.222453441614001,-7.222453441614001,-7.222453441614001,-6.847910032344747,-6.847910032344747,-6.847910032344747,-0.37454340926925367,-0.37454340926925367,-0.37454340926925367,0.0,0.0,0.0,122.93365751568173
