Date,Open,High,Low,Close,Adj Close,Volume,RSI_14_Day,Moving Average Convergence Divergence_MACD,SIGNAL,True Strength Index TSI,signal,SMA_20,SMA_50,Vol_Avg,Vol_Avg_Ind
2021-01-04,222.52999877929688,223.0,214.80999755859375,217.69000244140625,214.93435668945312,37130100,,0.0,0.0,,,,,,inf
2021-01-05,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,215.14169311523438,23823000,100.0,0.004711346748536016,0.0026174148602977868,,,,,,9101728717.659082
2021-01-06,212.1699981689453,216.49000549316406,211.94000244140625,212.25,209.563232421875,35930700,3.3360570358980652,-0.1692027817547057,-0.06780069850650691,,,,,,-529945867.68972135
2021-01-07,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,215.52676391601562,27694500,54.24955797480179,-0.02608394906926037,-0.05366900831773776,,,,,,-516024068.0438824
2021-01-08,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,216.8399200439453,22956200,59.329392660993065,0.1051576504275431,-0.006421668138870304,,,,,,-3574803229.249159
2021-01-11,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,214.73690795898438,23031300,49.79395116067028,0.09099543249450903,0.01998378241879388,,,,,,1152499537.7421675
2021-01-12,216.5,217.10000610351562,213.32000732421875,214.92999267578125,212.20928955078125,23249300,41.21922824819869,-0.035627195063028694,0.005910127584024804,,,,,,3933806786.6492996
2021-01-13,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,213.60147094726562,20087100,46.666811076202194,-0.05289921185934077,-0.008222862594089296,,,,,,-2442835420.166072
2021-01-14,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,210.323486328125,29480800,37.78685538957011,-0.22877176589614123,-0.05917075340561469,,,,,,-498232628.50668013
2021-01-15,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,209.95816040039062,31746500,36.94313610806302,-0.3692616593355922,-0.12864911708631527,,,,,27512950.0,-246768114.0687514
