,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,TSI,TSI_lower,TSI_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2021-02-08,134.32284167767344,136.31748178868438,137.89059301417797,134.32284167767344,134.32284167767344,3.7833582526130445,3.7833582526130445,3.7833582526130445,0.12624574149499682,0.12624574149499682,0.12624574149499682,-0.7335823077719498,-0.7335823077719498,-0.7335823077719498,2.7886904649201605,2.7886904649201605,2.7886904649201605,3.1760216863360915,3.1760216863360915,3.1760216863360915,-0.38733122141593096,-0.38733122141593096,-0.38733122141593096,0.0,0.0,0.0,137.1115321425936
25,2021-02-09,134.53717701902445,135.5321407978495,137.05282576233063,134.53717701902445,134.53717701902445,3.0984579569544723,3.0984579569544723,3.0984579569544723,-0.6284403295356286,-0.6284403295356286,-0.6284403295356286,-0.41255360488032966,-0.41255360488032966,-0.41255360488032966,1.750216931712861,1.750216931712861,1.750216931712861,2.057464022538514,2.057464022538514,2.057464022538514,-0.3072470908256528,-0.3072470908256528,-0.3072470908256528,0.0,0.0,0.0,136.2873939507373
26,2021-02-10,134.7515123603755,134.84389199990653,136.34545575134322,134.7515123603755,134.7515123603755,2.2066739659346437,2.2066739659346437,2.2066739659346437,-1.1581579721218873,-1.1581579721218873,-1.1581579721218873,0.02555000139602591,0.02555000139602591,0.02555000139602591,0.8491922270336538,0.8491922270336538,0.8491922270336538,1.0740659952087823,1.0740659952087823,1.0740659952087823,-0.22487376817512847,-0.22487376817512847,-0.22487376817512847,0.0,0.0,0.0,135.60070458740915
27,2021-02-11,134.96584770172652,134.3120226035638,135.89801621757948,134.96584770172652,134.96584770172652,1.3080719487122945,1.3080719487122945,1.3080719487122945,-1.3894969128380446,-1.3894969128380446,-1.3894969128380446,0.4641869256161357,0.4641869256161357,0.4641869256161357,0.13594893805796632,0.13594893805796632,0.13594893805796632,0.38276196149038566,0.38276196149038566,0.38276196149038566,-0.24681302343241932,-0.24681302343241932,-0.24681302343241932,0.0,0.0,0.0,135.10179663978448
28,2021-02-12,135.18018304307753,134.40413175981058,135.9685078185065,135.18018304307753,135.18018304307753,0.615905194818557,0.615905194818557,0.615905194818557,-1.182888039935224,-1.182888039935224,-1.182888039935224,0.7750705108861491,0.7750705108861491,0.7750705108861491,0.0452106240245456,0.0452106240245456,0.0452106240245456,0.20808766576948204,0.20808766576948204,0.20808766576948204,-0.16287704174493642,-0.16287704174493642,-0.16287704174493642,0.0,0.0,0.0,135.22539366710208
29,2021-02-16,136.03752440848163,132.5802927292545,134.13756130248166,136.03752440848163,136.03752440848163,-0.8821100254965775,-0.8821100254965775,-0.8821100254965775,-3.2075083653575365,-3.2075083653575365,-3.2075083653575365,1.6883159688916936,1.6883159688916936,1.6883159688916936,-2.7085495127878203,-2.7085495127878203,-2.7085495127878203,-2.4013024219624204,-2.4013024219624204,-2.4013024219624204,-0.30724709082539975,-0.30724709082539975,-0.30724709082539975,0.0,0.0,0.0,133.32897489569382
30,2021-02-17,136.25185974983265,130.15426199648894,131.78195037914475,136.25185974983265,136.25185974983265,-3.062955492481969,-3.062955492481969,-3.062955492481969,-5.144689760219492,-5.144689760219492,-5.144689760219492,3.1492179122296164,3.1492179122296164,3.1492179122296164,-5.283301108647179,-5.283301108647179,-5.283301108647179,-5.058427340471846,-5.058427340471846,-5.058427340471846,-0.22487376817533247,-0.22487376817533247,-0.22487376817533247,0.0,0.0,0.0,130.96855864118547
31,2021-02-18,136.46619509118366,128.821549904469,130.40000536327753,136.46619509118366,136.46619509118366,-5.262148879582414,-5.262148879582414,-5.262148879582414,-6.010723638077342,-6.010723638077342,-6.010723638077342,4.6881055226234984,4.6881055226234984,4.6881055226234984,-6.831580018467429,-6.831580018467429,-6.831580018467429,-6.584766995036258,-6.584766995036258,-6.584766995036258,-0.24681302343117115,-0.24681302343117115,-0.24681302343117115,0.0,0.0,0.0,129.63461507271623
32,2021-02-19,136.6805304325347,128.88276953185283,130.4431871168999,136.6805304325347,136.6805304325347,-6.930665548748264,-6.930665548748264,-6.930665548748264,-5.833557293485337,-5.833557293485337,-5.833557293485337,5.917992379158144,5.917992379158144,5.917992379158144,-7.00910750481971,-7.00910750481971,-7.00910750481971,-6.846230463075456,-6.846230463075456,-6.846230463075456,-0.16287704174425263,-0.16287704174425263,-0.16287704174425263,0.0,0.0,0.0,129.671422927715
33,2021-02-22,136.20742450282034,124.69092017521186,126.2310182321461,136.20742450282034,136.20742450282034,-9.788904481295717,-9.788904481295717,-9.788904481295717,-8.611568464128444,-8.611568464128444,-8.611568464128444,8.060223369079116,8.060223369079116,8.060223369079116,-10.72758079776216,-10.72758079776216,-10.72758079776216,-10.340249576345046,-10.340249576345046,-10.340249576345046,-0.3873312214171149,-0.3873312214171149,-0.3873312214171149,0.0,0.0,0.0,125.47984370505819
