,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Vol_Avg_Ind,Vol_Avg_Ind_lower,Vol_Avg_Ind_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-04,132.78273647729827,127.8955040752932,138.97332593316315,132.78273647729827,132.78273647729827,0.16511983394070323,0.16511983394070323,0.16511983394070323,0.6999925749106867,0.6999925749106867,0.6999925749106867,0.16511983394070323,0.16511983394070323,0.16511983394070323,0.5348727409699834,0.5348727409699834,0.5348727409699834,0.0,0.0,0.0,133.48272905220895
1,2021-01-05,132.70837436733788,128.22256461244186,138.93896672826492,132.70837436733788,132.70837436733788,0.12675657844053465,0.12675657844053465,0.12675657844053465,0.9555089027876288,0.9555089027876288,0.9555089027876288,0.12675657844053465,0.12675657844053465,0.12675657844053465,0.8287523243470942,0.8287523243470942,0.8287523243470942,0.0,0.0,0.0,133.66388327012552
2,2021-01-06,132.63401225737752,128.14587589527696,139.1625222550736,132.63401225737752,132.63401225737752,0.22736145335900285,0.22736145335900285,0.22736145335900285,1.0637364178982176,1.0637364178982176,1.0637364178982176,0.22736145335900285,0.22736145335900285,0.22736145335900285,0.8363749645392147,0.8363749645392147,0.8363749645392147,0.0,0.0,0.0,133.69774867527573
3,2021-01-07,132.55965014741713,128.08833454383515,139.02642568878554,132.55965014741713,132.55965014741713,0.17926375876628897,0.17926375876628897,0.17926375876628897,0.8905566229935435,0.8905566229935435,0.8905566229935435,0.17926375876628897,0.17926375876628897,0.17926375876628897,0.7112928642272546,0.7112928642272546,0.7112928642272546,0.0,0.0,0.0,133.4502067704107
4,2021-01-08,132.48528803745674,127.60374399975954,138.29145241611826,132.48528803745674,132.48528803745674,0.1786997862891237,0.1786997862891237,0.1786997862891237,0.8786283230950962,0.8786283230950962,0.8786283230950962,0.1786997862891237,0.1786997862891237,0.1786997862891237,0.6999285368059726,0.6999285368059726,0.6999285368059726,0.0,0.0,0.0,133.36391636055183
5,2021-01-11,132.26220170757563,127.60015723606972,138.07186975450045,132.26220170757563,132.26220170757563,0.19564283934379298,0.19564283934379298,0.19564283934379298,0.730515580307856,0.730515580307856,0.730515580307856,0.19564283934379298,0.19564283934379298,0.19564283934379298,0.5348727409640631,0.5348727409640631,0.5348727409640631,0.0,0.0,0.0,132.9927172878835
6,2021-01-12,132.18783959761524,127.96321464777557,138.6350088276291,132.18783959761524,132.18783959761524,0.2049338331962299,0.2049338331962299,0.2049338331962299,1.0336861575439686,1.0336861575439686,1.0336861575439686,0.2049338331962299,0.2049338331962299,0.2049338331962299,0.8287523243477387,0.8287523243477387,0.8287523243477387,0.0,0.0,0.0,133.2215257551592
7,2021-01-13,132.11347748765488,127.52873413052987,138.53689284100935,132.11347748765488,132.11347748765488,0.2068799606961017,0.2068799606961017,0.2068799606961017,1.04325492523497,1.04325492523497,1.04325492523497,0.2068799606961017,0.2068799606961017,0.2068799606961017,0.8363749645388684,0.8363749645388684,0.8363749645388684,0.0,0.0,0.0,133.15673241288985
8,2021-01-14,132.0391153776945,127.57522649252662,138.22879567959825,132.0391153776945,132.0391153776945,0.23844988221856867,0.23844988221856867,0.23844988221856867,0.9497427464463319,0.9497427464463319,0.9497427464463319,0.23844988221856867,0.23844988221856867,0.23844988221856867,0.7112928642277633,0.7112928642277633,0.7112928642277633,0.0,0.0,0.0,132.98885812414082
9,2021-01-15,131.9647532551636,127.87904701576095,138.35938927278409,131.9647532551636,131.9647532551636,0.3615265069523789,0.3615265069523789,0.3615265069523789,1.0614550437567378,1.0614550437567378,1.0614550437567378,0.3615265069523789,0.3615265069523789,0.3615265069523789,0.6999285368043588,0.6999285368043588,0.6999285368043588,0.0,0.0,0.0,133.02620829892035
10,2021-01-19,131.66730476504003,127.69135046226044,138.0500389307045,131.66730476504003,131.66730476504003,0.35625486655817523,0.35625486655817523,0.35625486655817523,1.1850071909040403,1.1850071909040403,1.1850071909040403,0.35625486655817523,0.35625486655817523,0.35625486655817523,0.828752324345865,0.828752324345865,0.828752324345865,0.0,0.0,0.0,132.85231195594406
11,2021-01-20,131.59294264250914,127.78278771631494,138.0956222370217,131.59294264250914,131.59294264250914,0.3670420637885388,0.3670420637885388,0.3670420637885388,1.2034170283274352,1.2034170283274352,1.2034170283274352,0.3670420637885388,0.3670420637885388,0.3670420637885388,0.8363749645388966,0.8363749645388966,0.8363749645388966,0.0,0.0,0.0,132.79635967083658
12,2021-01-21,131.51858051997826,127.03225595374717,138.2322027757092,131.51858051997826,131.51858051997826,0.31433300560127314,0.31433300560127314,0.31433300560127314,1.025625869829545,1.025625869829545,1.025625869829545,0.31433300560127314,0.31433300560127314,0.31433300560127314,0.7112928642282719,0.7112928642282719,0.7112928642282719,0.0,0.0,0.0,132.5442063898078
13,2021-01-22,131.44421839744734,127.04524265348584,137.49076921924708,131.44421839744734,131.44421839744734,0.23767876600456667,0.23767876600456667,0.23767876600456667,0.9376073028144077,0.9376073028144077,0.9376073028144077,0.23767876600456667,0.23767876600456667,0.23767876600456667,0.6999285368098411,0.6999285368098411,0.6999285368098411,0.0,0.0,0.0,132.38182570026174
