,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,SMA_20,SMA_20_lower,SMA_20_upper,SMA_50,SMA_50_lower,SMA_50_upper,TSI,TSI_lower,TSI_upper,Vol_Avg_Ind,Vol_Avg_Ind_lower,Vol_Avg_Ind_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-04,135.0194953503981,128.86577196364502,130.39927772611318,135.0194953503981,135.0194953503981,6.965413576621894,6.965413576621894,6.965413576621894,-0.2284489643960028,-0.2284489643960028,-0.2284489643960028,-6.146926116348827,-6.146926116348827,-6.146926116348827,-2.303059173514734,-2.303059173514734,-2.303059173514734,-4.79230620945056,-4.79230620945056,-4.79230620945056,-0.006181727836691829,-0.006181727836691829,-0.006181727836691829,-5.378056789153722,-5.378056789153722,-5.378056789153722,-6.511508614924921,-6.511508614924921,-6.511508614924921,1.1334518257711996,1.1334518257711996,1.1334518257711996,0.0,0.0,0.0,129.64143856124437
1,2021-01-05,135.09215682798035,130.25772166089604,131.87896003436362,135.09215682798035,135.09215682798035,6.255588839577649,6.255588839577649,6.255588839577649,0.9513425355771515,0.9513425355771515,0.9513425355771515,-5.915852457688861,-5.915852457688861,-5.915852457688861,-2.258194187412737,-2.258194187412737,-2.258194187412737,-4.238315573161129,-4.238315573161129,-4.238315573161129,-0.004745490900330341,-0.004745490900330341,-0.004745490900330341,-4.04364024030978,-4.04364024030978,-4.04364024030978,-5.210176334008257,-5.210176334008257,-5.210176334008257,1.1665360936984792,1.1665360936984792,1.1665360936984792,0.0,0.0,0.0,131.04851658767058
2,2021-01-06,135.16481830556256,126.3298957025531,127.88846773312284,135.16481830556256,135.16481830556256,4.482960492524781,4.482960492524781,4.482960492524781,-2.831963787374004,-2.831963787374004,-2.831963787374004,-5.840674954705308,-5.840674954705308,-5.840674954705308,-2.224070691604224,-2.224070691604224,-2.224070691604224,-2.8683321100871155,-2.8683321100871155,-2.8683321100871155,-0.00851191883904624,-0.00851191883904624,-0.00851191883904624,-8.077800711754938,-8.077800711754938,-8.077800711754938,-9.290592970084916,-9.290592970084916,-9.290592970084916,1.2127922583299782,1.2127922583299782,1.2127922583299782,0.0,0.0,0.0,127.08701759380763
3,2021-01-07,135.2374797831448,129.6694214523945,131.26121892363813,135.2374797831448,135.2374797831448,4.079052921574331,4.079052921574331,4.079052921574331,0.21934658450891245,0.21934658450891245,0.21934658450891245,-5.668160629120185,-5.668160629120185,-5.668160629120185,-2.177438883394157,-2.177438883394157,-2.177438883394157,-2.403559682153757,-2.403559682153757,-2.403559682153757,-0.006711245652497036,-0.006711245652497036,-0.006711245652497036,-4.8053981747667,-4.8053981747667,-4.8053981747667,-5.957470934237351,-5.957470934237351,-5.957470934237351,1.1520727594706517,1.1520727594706517,1.1520727594706517,0.0,0.0,0.0,130.4320816083781
4,2021-01-08,135.31014126072702,130.87573084132094,132.52697628053807,135.31014126072702,135.31014126072702,3.9550654741200475,3.9550654741200475,3.9550654741200475,0.930491856173325,0.930491856173325,0.930491856173325,-5.397255261465192,-5.397255261465192,-5.397255261465192,-2.1320182344086933,-2.1320182344086933,-2.1320182344086933,-2.2015933352974684,-2.2015933352974684,-2.2015933352974684,-0.006690131748261447,-0.006690131748261447,-0.006690131748261447,-3.6419479425758827,-3.6419479425758827,-3.6419479425758827,-4.851999632626243,-4.851999632626243,-4.851999632626243,1.2100516900503602,1.2100516900503602,1.2100516900503602,0.0,0.0,0.0,131.66819331815114
5,2021-01-11,135.5281256934737,128.46351524122954,130.11930114534144,135.5281256934737,135.5281256934737,3.002258430145162,3.002258430145162,3.002258430145162,-1.5170274958454744,-1.5170274958454744,-1.5170274958454744,-5.245844208607716,-5.245844208607716,-5.245844208607716,-2.079862680525677,-2.079862680525677,-2.079862680525677,-1.4731176788135276,-1.4731176788135276,-1.4731176788135276,-0.0073244428434640265,-0.0073244428434640265,-0.0073244428434640265,-6.187466250728749,-6.187466250728749,-6.187466250728749,-7.320918076490697,-7.320918076490697,-7.320918076490697,1.1334518257619484,1.1334518257619484,1.1334518257619484,0.0,0.0,0.0,129.34065944274494
6,2021-01-12,135.60078717105594,128.49277975542853,130.02261701675505,135.60078717105594,135.60078717105594,2.1331548415038695,2.1331548415038695,2.1331548415038695,-1.6552481777958234,-1.6552481777958234,-1.6552481777958234,-5.077286860872912,-5.077286860872912,-5.077286860872912,-2.0401656228413465,-2.0401656228413465,-2.0401656228413465,-0.8808334102541339,-0.8808334102541339,-0.8808334102541339,-0.007672277467309201,-0.007672277467309201,-0.007672277467309201,-6.361515414028523,-6.361515414028523,-6.361515414028523,-7.528051507727656,-7.528051507727656,-7.528051507727656,1.1665360936991325,1.1665360936991325,1.1665360936991325,0.0,0.0,0.0,129.2392717570274
7,2021-01-13,135.67344864863816,130.3498636885414,131.88729974305969,135.67344864863816,135.67344864863816,1.90685988442969,1.90685988442969,1.90685988442969,-0.15643915332743696,-0.15643915332743696,-0.15643915332743696,-4.836980659989336,-4.836980659989336,-4.836980659989336,-1.975687751940212,-1.975687751940212,-1.975687751940212,-0.6984749146971412,-0.6984749146971412,-0.6984749146971412,-0.007745136252668864,-0.007745136252668864,-0.007745136252668864,-4.555675473447239,-4.555675473447239,-4.555675473447239,-5.768467731777105,-5.768467731777105,-5.768467731777105,1.212792258329866,1.212792258329866,1.212792258329866,0.0,0.0,0.0,131.1177731751909
8,2021-01-14,135.74611012622037,128.51865971446134,130.14164359372268,135.74611012622037,135.74611012622037,1.16954618797868,1.16954618797868,1.16954618797868,-1.7726790687703815,-1.7726790687703815,-1.7726790687703815,-4.80981115828716,-4.80981115828716,-4.80981115828716,-1.9166953374870455,-1.9166953374870455,-1.9166953374870455,-0.20808267036371725,-0.20808267036371725,-0.20808267036371725,-0.008927045524378124,-0.008927045524378124,-0.008927045524378124,-6.394576332982207,-6.394576332982207,-6.394576332982207,-7.546649092454002,-7.546649092454002,-7.546649092454002,1.1520727594717957,1.1520727594717957,1.1520727594717957,0.0,0.0,0.0,129.35153379323816
9,2021-01-15,135.81877158080775,126.91566527652256,128.45743821743898,135.81877158080775,135.81877158080775,0.09273153643392977,0.09273153643392977,0.09273153643392977,-3.1309150835630177,-3.1309150835630177,-3.1309150835630177,-4.827484562898641,-4.827484562898641,-4.827484562898641,-1.8676778692981197,-1.8676778692981197,-1.8676778692981197,0.482219843830664,0.482219843830664,0.482219843830664,-0.013534766953145377,-0.013534766953145377,-0.013534766953145377,-8.054609212400837,-8.054609212400837,-8.054609212400837,-9.26466090244833,-9.26466090244833,-9.26466090244833,1.2100516900474942,1.2100516900474942,1.2100516900474942,0.0,0.0,0.0,127.76416236840691
