Date,Open,High,Low,Close,Adj Close,Volume,RSI_14_Day,Moving Average Convergence Divergence_MACD,SIGNAL,True Strength Index TSI,signal,SMA_35,SMA_100,Vol_Avg,Vol_Avg_Ind,SMA_20,SMA_50
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,128.26498413085938,143301900,,0.0,0.0,,,,,,inf,,
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,129.85084533691406,97664900,100.0,0.035897230490661514,0.019942905828145285,,,,,,4897225150.718317,,
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,125.47984313964844,155088000,25.19981217636935,-0.09101351632182286,-0.025531037675940015,,,,,,-6074488705.414121,,
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,129.76162719726562,109578200,58.191200281105296,0.009467441907588636,-0.01367518415848451,,,,,,-8012923170.180072,,
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,130.8816375732422,105158200,62.811667496810934,0.10883347307213853,0.02276837165738383,,,,,,4618608725.402503,,
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,127.83878326416016,100384500,47.46442935208948,0.03524491522836115,0.0261502086475221,,,,,,3838764782.0741987,,
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,127.66038513183594,91951100,46.743306196184584,-0.020709196728262214,0.014291343242092485,,,,,,6434041814.150485,,
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,129.73190307617188,88636800,55.24586625238381,0.04150465555628102,0.020831213937643485,,,,,,4254999265.300953,,
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,127.76942443847656,90221800,47.507625428190714,-0.014279727931040043,0.012720412179696767,,,,,,7092678973.406563,,
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,126.01507568359375,111598500,41.86262870221346,-0.14481567808800833,-0.022576816997758983,,,,,109358390.0,-4943057296.831412,,
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,126.698974609375,90757300,44.62495791397547,-0.2003518318004467,-0.061472974441516635,,,,,104103930.0,-1476377234.4600554,,
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,130.86183166503906,104319500,57.776052671032225,-0.007632542523396069,-0.04991030764603425,,,,,104769390.0,-2090139390.4409037,,
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,135.6589813232422,120150900,67.38790821527974,0.40879708628384037,0.04716811379919932,,,,,101275680.0,2547290750.5162854,,
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,137.83953857421875,114459400,70.65761329058432,0.8426950741930455,0.21359294746878435,,,,,101763800.0,535876307.51117253,,
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,141.6554412841797,157611700,75.3207773145271,1.3876320281469816,0.456963607461098,,,,,107009150.0,344910836.2823351,,
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,141.89334106445312,98390600,75.58130499578087,1.798242053223504,0.7329887126181427,,,,,106809760.0,134232080.66678306,,
