,Date,Open,High,Low,Close,Adj Close,Volume,RSI_14_Day,Moving Average Convergence Divergence_MACD,True Strength Index TSI,SMA_20,SMA_50,Vol_Avg,Vol_Avg_Ind
0,2020-09-01,3489.580078125,3513.8701171875,3467.0,3499.1201171875,3499.1201171875,3432200,,0.0,,,,,
1,2020-09-02,3547.0,3552.25,3486.68994140625,3531.449951171875,3531.449951171875,3931500,100.0,0.7253488393930638,,,,,
2,2020-09-03,3485.0,3488.409912109375,3303.0,3368.0,3368.0,8161100,15.516866072557676,-4.144334811941462,,,,,
3,2020-09-04,3318.0,3381.5,3111.1298828125,3294.6201171875,3294.6201171875,8781800,11.016921438978983,-8.906947995800238,,,,,
4,2020-09-08,3144.0,3250.85009765625,3130.0,3149.840087890625,3149.840087890625,6094200,6.816571446297232,-17.068497652863243,,,,,
5,2020-09-09,3202.989990234375,3303.179931640625,3185.0,3268.610107421875,3268.610107421875,5188700,30.29512066788513,-16.57518924542228,,,,,
6,2020-09-10,3307.219970703125,3349.889892578125,3170.550048828125,3175.110107421875,3175.110107421875,5330700,24.96280933810371,-20.20903145256807,,,,,
7,2020-09-11,3208.68994140625,3217.340087890625,3083.97998046875,3116.219970703125,3116.219970703125,5094000,22.30042041903775,-25.121503466967624,,,,,
8,2020-09-14,3172.93994140625,3187.389892578125,3096.0,3102.969970703125,3102.969970703125,4529600,21.738637718566324,-28.79844430196772,,,,,
9,2020-09-15,3136.159912109375,3175.02001953125,3108.919921875,3156.1298828125,3156.1298828125,4021500,29.42082591238099,-28.24955060011871,,,,5456530.0,
10,2020-09-16,3179.989990234375,3187.239990234375,3074.14990234375,3078.10009765625,3078.10009765625,4512200,25.468901787674085,-31.61381595423427,,,,5564530.0,
11,2020-09-17,3009.25,3029.429931640625,2972.550048828125,3008.72998046875,3008.72998046875,6449100,22.56675395222743,-37.46079420582055,,,,5816290.0,
12,2020-09-18,3031.739990234375,3037.800048828125,2905.5400390625,2954.909912109375,2954.909912109375,8892600,20.605025176110345,-44.34033600124394,,,,5889440.0,
13,2020-09-21,2906.5,2962.0,2871.0,2960.469970703125,2960.469970703125,6117900,21.36553115582072,-48.59163656575765,,,,5623050.0,
14,2020-09-22,3033.840087890625,3133.989990234375,3000.199951171875,3128.989990234375,3128.989990234375,6948800,40.095132893216125,-41.177522482230415,,,,5708510.0,
15,2020-09-23,3120.429931640625,3127.0,2992.3798828125,2999.860107421875,2999.860107421875,5652700,33.50891758558063,-42.86586659293198,,,,5754910.0,
16,2020-09-24,2977.7900390625,3069.300048828125,2965.0,3019.7900390625,3019.7900390625,5529400,35.276065537575604,-42.38814753216093,,,,5774780.0,
17,2020-09-25,3054.860107421875,3101.5400390625,2999.0,3095.1298828125,3095.1298828125,4615200,41.59525307984681,-36.75175906455934,,,,5726900.0,
18,2020-09-28,3148.85009765625,3175.0400390625,3117.169921875,3174.050048828125,3174.050048828125,4224200,47.389737052559234,-26.910486818396294,,,,5696360.0,
19,2020-09-29,3175.389892578125,3188.260009765625,3132.5400390625,3144.8798828125,3144.8798828125,3495800,45.5893510657965,-20.90205612202999,,3161.349011230469,,5643790.0,
20,2020-09-30,3141.139892578125,3212.8798828125,3133.989990234375,3148.72998046875,3148.72998046875,4896100,45.881593885996956,-15.754539142048543,,3143.8295043945313,,5682180.0,
21,2020-10-01,3208.0,3224.0,3172.0,3221.260009765625,3221.260009765625,4971900,51.19921669394009,-6.716510871816354,,3128.3200073242188,,5534460.0,
22,2020-10-02,3153.6298828125,3195.800048828125,3123.0,3125.0,3125.0,5613100,44.89433672888301,-6.167176868518709,,3116.1700073242187,,5206510.0,
23,2020-10-05,3145.840087890625,3202.530029296875,3140.85009765625,3199.199951171875,3199.199951171875,3775300,50.00505565496217,-0.5667118506771658,,3111.3989990234377,,4972250.0,
24,2020-10-06,3165.0,3182.0,3090.0,3099.9599609375,3099.9599609375,5086900,44.11236214066553,-3.102659924668842,,3108.904992675781,,4786060.0,
25,2020-10-07,3135.0,3200.0,3132.389892578125,3195.68994140625,3195.68994140625,4309400,50.20782859300781,1.68141943010869,,3105.258984375,,4651730.0,
26,2020-10-08,3224.989990234375,3233.2900390625,3174.989990234375,3190.550048828125,3190.550048828125,3174100,49.89318191669743,5.024918031931065,,3106.0309814453126,,4416200.0,
27,2020-10-09,3210.0,3288.989990234375,3197.830078125,3286.64990234375,3286.64990234375,4907900,55.50744112120506,14.444964544542017,,3114.5524780273436,,4445470.0,
28,2020-10-12,3349.93994140625,3496.239990234375,3339.550048828125,3442.929931640625,3442.929931640625,8364200,62.80595571021763,32.89249753516697,,3131.5504760742188,,4859470.0,
29,2020-10-13,3467.989990234375,3492.3798828125,3424.219970703125,3443.6298828125,3443.6298828125,5744700,62.83536103355777,46.96286252214031,,3145.9254760742188,,5084360.0,
30,2020-10-14,3447.0,3464.8798828125,3340.0,3363.7099609375,3363.7099609375,5812700,57.26814983584123,51.56299453307156,,3160.2059692382813,,5176020.0,
31,2020-10-15,3292.010009765625,3355.8798828125,3280.0,3338.64990234375,3338.64990234375,5223400,55.604524862417605,52.716115512577744,,3176.7019653320312,,5201170.0,
32,2020-10-16,3363.22998046875,3399.659912109375,3160.0,3272.7099609375,3272.7099609375,6474400,51.375416686831066,48.12549001373509,,3192.5919677734373,,5287300.0,
33,2020-10-19,3299.610107421875,3329.0,3192.739990234375,3207.2099609375,3207.2099609375,5223600,47.509960494608734,39.103788240593076,,3204.9289672851564,,5432130.0,
34,2020-10-20,3222.280029296875,3266.0,3192.010009765625,3217.010009765625,3217.010009765625,4509700,48.1386852260237,32.331181239873786,,3209.329968261719,,5374410.0,
35,2020-10-21,3212.5,3233.8798828125,3160.0,3184.93994140625,3184.93994140625,4592700,46.188939552514945,24.249569172100564,4.5563553640414485,3218.5839599609376,,5402740.0,1007976.6903708569
36,2020-10-22,3189.8701171875,3198.75,3121.93994140625,3176.39990234375,3176.39990234375,4212000,45.658603659190305,17.002755816551144,2.6226821316110946,3226.414453125,,5506530.0,1605989.513266939
37,2020-10-23,3191.0,3205.330078125,3140.0,3204.39990234375,3204.39990234375,3466700,47.77583068115895,13.260182739803895,1.644875150302729,3231.8779541015624,,5362410.0,2107576.370985953
38,2020-10-26,3198.739990234375,3282.97998046875,3153.300048828125,3207.0400390625,3207.0400390625,5901200,47.98163118483099,10.379870747327004,0.9094068005873099,3233.527453613281,,5116110.0,6489065.175440636
39,2020-10-27,3224.93994140625,3291.659912109375,3211.300048828125,3286.330078125,3286.330078125,4291000,53.86207192923963,14.063309932148059,1.9550617055522217,3240.599963378906,,4970740.0,2194815.635646638
40,2020-10-28,3249.300048828125,3264.02001953125,3162.469970703125,3162.780029296875,3162.780029296875,5588300,45.27374543819934,7.3167591249507495,0.17917223335015295,3241.3024658203126,,4948300.0,31189542.573144633
41,2020-10-29,3201.27001953125,3257.25,3164.0,3211.010009765625,3211.010009765625,6596500,48.71171862368799,5.65848880138401,-0.21834636585275013,3240.7899658203123,,5085610.0,-30211173.76621964
42,2020-10-30,3157.75,3167.0,3019.0,3036.14990234375,3036.14990234375,8386400,39.11702849253284,-9.182817684333259,-3.9912019531429115,3236.3474609375,,5276810.0,-2101221.6616591015
43,2020-11-02,3061.739990234375,3079.7099609375,2950.1201171875,3004.47998046875,3004.47998046875,7257400,37.66981718208501,-23.14558832651619,-7.434757375123335,3226.611462402344,,5480190.0,-976144.8334929163
